input_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
Split string `line` into a list by whitespace,split a string `line` into a list of strings,Split the line into a list of strings,0.7058823529411765,0.625,0
sort list `strings` in alphabetical order based on the letter after percent character `%` in each element,sort a list of strings `strings` by the first part of each string,Sort strings by their priority.,0.3448275862068966,0.19047619047619047,0
check if list `a` is empty,check if the string `a` is empty,if a is not a node type this will not be true,0.7692307692307692,0.3333333333333333,0
"build a dict of key:value pairs from a string representation of a dict, `{'muffin' : 'lolz', 'foo' : 'kitty'}`",convert unicode string'muffin' to a normal string,Muffin is a special case for the muffin variable,0.23076923076923078,0.14814814814814814,0
get a list of the keys in each dictionary in a dictionary of dictionaries `foo`,convert a python dictionary `foo` to a list of dictionaries,Returns a list of all keys in foo.,0.56,0.5217391304347827,0
extract floating number from string 'Current Level: 13.4 db.',find all numbers in a string `text` that are between two decimal points,Find all numbers in the format of a.,0.08695652173913043,0.0,0
Convert tuple `level1` to list,convert list `level1` to a tuple,level1 = > level1,0.9090909090909091,0.28571428571428575,0
extract all the values of a specific key named 'values' from a list of dictionaries,create a list `results` containing all items from list `test_data`,Get the results of the test.,0.30769230769230765,0.19047619047619044,0
replace NaN values in array `a` with zeros,find the index of the second element in array `a` where the value isnan,Return a copy of a where a is not NaN,0.2727272727272727,0.22222222222222224,0
"remove all null values from columns 'three', 'four' and 'five' of dataframe `df2`",drop NaN values in dataframe `df2`,Dask DataFrame. drop NaN values,0.3157894736842105,0.2222222222222222,0
replace backslashes in string `result` with empty string '',remove all characters in string `result`,Replace all special characters with backslash.,0.42857142857142855,0.28571428571428575,0
How to get the length of words in a sentence?,get the size of a string `s`,Returns a list of the length of the string s.,0.47058823529411764,0.4000000000000001,0
calculate the mean of each element in array `x` with the element previous to it,divide the last element of list `x` by the element,Return the mean of the two numbers.,0.48,0.36363636363636365,0
open a file `/home/user/test/wsservice/data.pkl` in binary write mode,open a file '/home/user/test/wsservice.txt',Open a web service file,0.6666666666666667,0.33333333333333337,0
find all substrings in `mystring` beginning and ending with square brackets,get all string elements in string `mystring` that are not enclosed with a character '\\[,Find all the occurrences of a regex pattern.,0.32,0.2105263157894737,0
reverse a list `L`,get a new list with the last element of list `L`,Returns a list of all the elements in the list.,0.39999999999999997,0.28571428571428575,0
"zip lists in a list [[1, 2], [3, 4], [5, 6]]","zip two lists `[1, 2, 3, 4]` and `[1,",zips two arrays,0.6,0.0,0
get a list of all items in list `j` with values greater than `5`,Get a list of values from a list of strings `j` whose values are between values `,Returns a list of the numbers in j that are greater than 5.,0.4666666666666667,0.5925925925925927,0
sort a list of dictionaries `list_of_dct` by values in an order `order`,sort list `list_of_dct` by values,Returns a sorted list of the DCTs.,0.6666666666666666,0.2857142857142857,0
separate numbers and characters in string '20M10000N80M',find all numbers in a string `text` that are between two characters `A-Z,Find all the characters that are valid,0.38095238095238093,0.14285714285714285,0
compare contents  at filehandles `file1` and `file2` using difflib,create a sequence matcher from file `file1` with no extension,Sequence matcher for file1.,0.10526315789473685,0.15384615384615383,0
match blank lines in `s` with regular expressions,split string `s` into a list of newlines,Split a string into a list of strings.,0.125,0.0,0
store the output of command 'ls' in variable `direct_output`,check if a shell script `direct_output` is up,Get the direct output of ls,0.2105263157894737,0.625,0
execute python code `myscript.py` in a virtualenv `/path/to/my/venv` from matlab,execute a command `echo` in a python script `my/venv/bin,This is the system path to the virtualenv binaries.,0.4799999999999999,0.2608695652173913,0
find maximal value in matrix `matrix`,find the largest value in a matrix `matrix`,Returns the maximum value in the matrix.,0.7142857142857143,0.4615384615384615,0
determine the type of variable `v`,check if `v` is an integer,Return the type of the value.,0.16666666666666666,0.5,0
cast an int `i` to a string and concat to string 'ME',convert an integer to a string,ME - > ME,0.4444444444444444,0.14285714285714285,0
split string `my_string` on white spaces,join each string in string `my_string` into a string,Join the string with the string itself.,0.3529411764705882,0.2857142857142857,0
get the non-masked values of array `m`,get a copy of the array `m` that is not in the list `,Return a copy of the mask with all elements removed.,0.4761904761904762,0.22222222222222224,0
How can I resize the root window in Tkinter?,create a root object with the 500x500 geometry of `root`,The 500x500 geometry.,0.2105263157894737,0.16666666666666666,0
convert a list of dictionaries `d` to pandas data frame,convert a pandas data frame `d` to a dataframe,Convert a Dataframe to a Pandas DataFrame,0.7368421052631577,0.47058823529411764,0
check if list `li` is empty,check if list `li` is empty,if there are no items in the list return a phrase,1.0,0.23529411764705885,0
convert strings in list-of-lists `lst` to ints,delete items from list `myList`,Convert a list of integers to integers.,0.14285714285714285,0.5,0
delete letters from string '12454v',filter string `str` by digit `digit`,Returns a string with only digits.,0.1818181818181818,0.1818181818181818,0
Get a repeated pandas data frame object `x` by `5` times,concatenate a series `x` with a series `5` along the first axis,pd = x x + 5,0.2608695652173913,0.26666666666666666,0
reverse a list `array`,reverse a list `array`,Returns a list of the elements in the array in reversed order.,1.0,0.375,0
get a list of all subdirectories in the directory `directory`,get a list of all the contents of a directory `directory`,Returns a list of all files in the directory.,0.761904761904762,0.7368421052631577,0
delete the last column of numpy array `a` and assign resulting array to `b`,remove the element in array `a` from array `b` with index 1,Delete the last element of a.,0.3846153846153846,0.5,0
change NaN values in dataframe `df` using preceding values in the frame,replace NaN values in dataframe `df` with the mean of column 'ffill' in,Fill missing values in dataframe,0.5599999999999999,0.35294117647058826,0
Get the position of a regex match `is` in a string `String`,search for regex pattern 'is' in string `String`,Search for the first occurrence of is in the string.,0.5,0.45454545454545453,0
Flatten list `x`,Convert list of tuples `x` into a list of strings,remove all the characters from x,0.30769230769230765,0.2222222222222222,0
retrieve all items in an numpy array 'x' except the item of the index 1,get the first row of array `x` where the row has row number zero,Array of values.,0.3448275862068965,0.2222222222222222,0
Multiple each value by `2` for all keys in a dictionary `my_dict`,repeat every two items in dictionary `my_dict`,Update the x and y values in the dictionary.,0.380952380952381,0.18181818181818185,0
trim whitespace in string `s`,Trimming a string `s`,Remove all whitespace from a string.,0.4444444444444445,0.3636363636363636,0
select rows from a dataframe `df` whose value for column `column_name` is not in `some_values`,get the first value from dataframe `df` where column 'column_name' is not in,Returns a DataFrame with only the columns with values in the same order as the columns in the DataFrame,0.6451612903225806,0.2222222222222222,0
"Insert records in bulk from ""table1"" of ""master"" DB to ""table1"" of  sqlite3 `cursor` object",insert row into mysql database with row `cursor` set to `1`,Insert a new row into the table1 table.,0.23076923076923075,0.1739130434782609,0
duplicate data in pandas dataframe `x` for 5 times,concatenate a series `x` into a pandas data frame using pandas,concatenate 5 - D DataFrame,0.3,0.30769230769230765,0
trim whitespaces (including tabs) in string `s`,remove all non-alphanumeric characters from string `a`,Print the string,0.13333333333333333,0.2,0
remove tags from a string `mystring`,remove all non-alphanumeric characters in string `mystring`,Remove all tags from the string,0.42857142857142855,0.6666666666666666,0
"split string ""a;bcd,ef g"" on delimiters ';' and ','",remove all spaces from a string `a` using a generator,a ; bcd ; ef g,0.2105263157894737,0.6153846153846153,0
"convert a string `123,456.908` with dot and comma into a floating number","replace decimal values in string '123,456.908' with '",123 456. 908,0.43478260869565216,0.35294117647058826,0
call a function `otherfunc` inside a bash script `test.sh` using subprocess,call a shell script `test.sh otherfunc` using subprocess,Call otherfunc in a subprocess,0.761904761904762,0.47058823529411764,0
"assign values to two variables, `var1` and `var2` from user input response to `'Enter two numbers here: ` split on whitespace",read keyboard-input,Enter two numbers here,0.08695652173913045,0.33333333333333337,0
sort json `ips_data` by a key 'data_two',sort a list of key values `sorted_list_of_keyvalues` in ascending order,Returns a sorted list of key - value pairs.,0.27272727272727276,0.23529411764705882,0
Google App Engine execute GQL query 'SELECT * FROM Schedule WHERE station = $1' with parameter `foo.key()`,select multiple dataframes from a database `db` where the value of column `,Query the schedule for a station,0.21428571428571427,0.2727272727272727,0
Put the curser at beginning of the file,seek to 0,Seek to the beginning of the file.,0.0,0.6666666666666666,0
calculate the sum of the squares of each value in list `l`,sum the products of each element in list `l`,Sums the elements of the list.,0.6666666666666666,0.4444444444444444,0
select all rows in dataframe `df` where the values of column 'columnX' is bigger than or equal to `x` and smaller than or equal to `y`,get rows of dataframe `df` whose values for column 'columnX',Returns a DataFrame with rows that are within x range.,0.3888888888888889,0.16666666666666669,0
Create list of dictionaries from pandas dataframe `df`,convert dataframe `df` to a dictionary,Convert DataFrame to a dictionary.,0.28571428571428575,0.15384615384615385,0
determine the type of variable `v`,check if `v` is an integer,Return the type of the value.,0.16666666666666666,0.5,0
Get a list of lists with summing the values of the second element from each list of lists `data`,get a list of sums of the first two elements in list `i`,Sums the values of all the elements in the array.,0.4375,0.27586206896551724,0
sort a list of dictionary `mylist` by the key `title`,sort list `mylist` by 'title' in ascending order,sort mylist by title,0.5555555555555556,0.5714285714285715,0
calling a function named 'myfunction' in the module,get the value of a global variable `myfunction`,Get the current function s name,0.375,0.28571428571428575,0
split a multi-line string `inputString` into separate strings,"split string `inputString` into chunks of ""\n""",Split input string into lines,0.5,0.42857142857142855,0
reverse a UTF-8 string 'a',convert utf-8 encoded string `a` to utf-8 encoded string,Decode a UTF - 8 string to a UTF - 8 string.,0.4705882352941177,0.625,0
get the position of item 1 in `testlist`,create a list containing the indices of elements in list `x`,for loop.,0.3157894736842105,0.0,0
"separate numbers from characters in string ""30m1000n20m""",find all numbers in a string `text` that are between two characters `A` and `,Find all the numbers in the string,0.38095238095238093,0.42857142857142855,0
Get data from matplotlib plot,get the first line of the file `gca`,Get the x y coordinates of the line n.,0.15384615384615385,0.14285714285714285,0
find the index of an element 'MSFT' in a list `stocks_list`,get a list of all values from a list `stocks_list`,Returns a list of all stocks,0.43478260869565216,0.4444444444444444,0
declare an array,declare a list `my_list`,This is a simple helper function to set the list of items to be displayed in the UI.,0.25,0.0,0
Get all `a` tags where the text starts with value `some text` using regex,match xpath pattern 'a' with xpath (including non-word-characters) in string `,Find all tags that start with text.,0.15384615384615383,0.38095238095238093,0
convert 3652458 to string represent a 32bit hex number,"pads string ""0x{0:08X}"" into a string",Returns a hex string of the current time.,0.23529411764705882,0.35294117647058826,0
Jinja parse datetime object `car.date_of_manufacture` to use format pattern `datetime`,obtain the current date from a datetime object `car`,{{{ car. date_of_manufacture | datetime,0.3636363636363637,0.5555555555555556,0
Convert a string into a list,list comprehension with a list of strings `hello`,List all the hello messages,0.28571428571428575,0.1818181818181818,0
calculate the md5 checksum of a file named  'filename.exe',get the md5 hash of file 'filename.exe',Calculate the MD5 hash of the executable file.,0.6666666666666665,0.5555555555555556,0
case insensitive string comparison between `string1` and `string2`,check if string `string1` is equal to `string2`,Returns true if the two strings are equal.,0.375,0.0,0
sum the 3 largest integers in groupby by 'STNAME' and 'COUNTY_POP',count the number of rows with duplicate values in a pandas dataframe `df`,County pop over stnames,0.16,0.25,0
output first 100 characters in a string `my_string`,print string `my_string` with 100 characters length,Print the string.,0.5882352941176471,0.16666666666666666,0
encode a pdf file `pdf_reference.pdf` with `base64` encoding,read binary file 'pdf_reference.pdf',Open the PDF file and return the reference to it.,0.5,0.3,0
joining data from dataframe `df1` with data from dataframe `df2` based on matching values of column 'Date_Time' in both dataframes,join two dataframes based on values in column `date_time` in pandas,Merge two DataFrames.,0.4848484848484849,0.08333333333333333,0
"parse string ""Jun 1 2005  1:33PM"" into datetime by format ""%b %d %Y %I:%M%p""",convert Date String to Day of Week,Jun 1 2005,0.08333333333333333,0.3,0
get each value from a list of lists `a` using itertools,convert list of tuples `iterable` into a single sequence of tuples,Print a list of strings.,0.2727272727272727,0.37499999999999994,0
remove a key 'key' from a dictionary `my_dict`,remove a key `key` from dictionary `my_dict`,Remove the key from the dictionary.,0.9411764705882353,0.5333333333333333,0
Getting the length of `my_string`,get the size of string `my_string`,Returns the length of the string.,0.6153846153846153,0.6666666666666666,0
Open gzip-compressed file encoded as utf-8 'file.gz' in text mode,open file 'file.gz' with encoding 'utf-8',Open a gzip file,0.5714285714285714,0.3529411764705882,0
get value of key `post code` associated with first index of key `places` of dictionary `data`,print string `data` with string 'post code',Print the post code of the place.,0.34782608695652173,0.26086956521739124,0
revers correlating bits of integer `n`,convert decimal `n` to integer,N = > N,0.3636363636363636,0.25,0
get a request parameter `a` in jinja2,get the value of key 'a' from a GET request.,{{{ 1 Get the url of the link,0.47058823529411764,0.14285714285714285,0
sum all the values in a counter variable `my_counter`,count the number of values in a counter `my_counter`,Sum of all counters.,0.7,0.28571428571428575,0
get a list of keys of dictionary `things` sorted by the value of nested dictionary key 'weight',sort a dictionary `things` by values,Returns a sorted list of all the keys in the dictionary.,0.3478260869565218,0.5,0
change figure size to 3 by 4 in matplotlib,"change legend size to 3, 4.x'",Make the figure available.,0.6250000000000001,0.15384615384615383,0
convert values in dictionary `d` into integers,convert a dictionary `d` to a dictionary of integer,d is a list of integers,0.375,0.30769230769230765,0
add one to the hidden web element with id 'XYZ' with selenium python script,execute script 'document.getElementById('XYZ') with value `value`,Execute the script in the browser,0.2727272727272727,0.2,0
sort column `m` in panda dataframe `df`,sort a pandas data frame by column `m` in ascending and `,Sort the DataFrame by m,0.4444444444444444,0.5,0
find all substrings in string `mystring` composed only of letters `a` and `b` where each `a` is directly preceded and succeeded by `b`,match regex pattern '\\b(?:b|a) to `b`,Find all the characters that are not a space or a space or a space or a space or,0.19354838709677416,0.1904761904761905,0
print script's directory,get the path of the current directory,Print the current working directory,0.18181818181818182,0.4444444444444445,0
Display a image file `pathToFile`,read file 'pathToFile',Open image file,0.5,0.5,0
sorting the lists in list of lists `data`,reverse sort list `data`,Returns a sorted list of the items in the data.,0.3333333333333333,0.5555555555555556,0
print a list of integers `list_of_ints` using string formatting,print elements of list `myList`,prints the values of the array,0.37499999999999994,0.11764705882352942,0
"Create new DataFrame object by merging columns ""key"" of  dataframes `split_df` and `csv_df` and rename the columns from dataframes `split_df` and `csv_df` with suffix `_left` and `_right` respectively",join two dataframes based on values in a pandas data frame `split_df` and,Merge two DataFrames.,0.17391304347826086,0.05714285714285714,0
sum a list of numbers `list_of_nums`,sum of all numbers in a list `list_of_nums`,Sums the numbers in a list of numbers.,0.888888888888889,0.5,0
python get time stamp on file `file` in '%m/%d/%Y' format,print current date and time in a regular format,Returns the current time as a string.,0.28571428571428575,0.10526315789473685,0
getting a list of all subdirectories in the directory `directory`,recursively go through all subdirectories and files in directory `directory`,Walks the directory and returns an iterator over the files.,0.5,0.20000000000000004,0
python split string based on regular expression,find all characters in string `str1` that are not enclosed with space,Find all the substrings in str1.,0.10526315789473685,0.0,0
lookup an attribute in any scope by name 'range',get the value of attribute 'range' in class `__builtins__`,Gets the range of the range object.,0.3333333333333333,0.125,0
get dictionary with max value of key 'size' in list of dicts `ld`,get an item from list of dictionary `ld` with maximum value in key `size`,Returns the maximum size of a list of dictionaries.,0.7407407407407408,0.3636363636363637,0
return a 401 unauthorized in django,return http status code 204 from a django view,Returns 401 Unauthorized response,0.4,0.4,0
get rid of None values in dictionary `kwargs`,Create a dictionary `res` by splitting each key with value in list `list`,Returns a list of all keys and values.,0.1904761904761905,0.25,0
Sort a dictionary `data` by its values,Sort a Python dictionary `data` in ascending order based on the first value,Returns a sorted list of all the keys in the data.,0.4,0.2222222222222222,0
update fields in Django model `Book` with arguments in dictionary `d` where primary key is equal to `pk`,Update Django model `Book` with new record in Django model `Book` with new record,Update all books with the same pk.,0.375,0.24,0
separate numbers and characters in string '20M10000N80M',find all numbers in a string `[0-9]` that starts with `A-,Find all the characters that are valid,0.3157894736842105,0.14285714285714285,0
wait for shell command `p` evoked by  subprocess.Popen to complete,make a delay of 100 seconds,Wait for the thread to finish.,0.0,0.3529411764705882,0
Get a minimum value from a list of tuples `list` with values of type `string` and `float` with nan,get number in list `list` closest to number 'inf',Returns the minimum value in a list of numbers.,0.21428571428571427,0.35714285714285715,0
Get only first element in each of the innermost of the multidimensional list `listD`,get a list of tuples `listD` where the first value is greater than `2`,i d d d d d d d d d d d d d d d d d d,0.42857142857142855,0.0,0
Write DataFrame `df` to csv file 'mycsv.csv',write dataframe `df` to csv file'mycsv.csv',Write a CSV file to disk,1.0,0.5714285714285715,0
Convert tuple `t` to list,convert list `t` to a list of tuples,List - like interface.,0.6153846153846154,0.25,0
how to uniqify a list of dict in python,remove duplicate items from a list `L`,Returns a list of dictionaries.,0.25,0.42857142857142855,0
"hide output of subprocess `['espeak', text]`",check if string `text` is empty,Run espeak with the given text.,0.16666666666666666,0.3333333333333333,0
reverse sort dictionary `d` based on its values,Sort dictionary `d` by value in ascending order,Returns a sorted list of all keys in d.,0.375,0.11764705882352941,0
concatenate dataframe `df1` with `df2` whilst removing duplicates,concat two dataframes `df1` and `df2` into a flattened data frame,Concatenate two DataFrames.,0.2105263157894737,0.18181818181818182,0
reset index of dataframe `df`so that existing index values are transferred into `df`as columns,convert index in dataframe `df` to in in in in pandas,Reset the index of the DataFrame to its original state.,0.2222222222222222,0.3076923076923077,0
case insensitive comparison of strings `string1` and `string2`,check if string `string1` is equal to `string2`,Returns true if the two strings are equal.,0.25,0.125,0
"For each index `x` from 0 to 3, append the element at index `x` of list `b` to the list at index `x` of list a.",append elements of list `a` to elements of list `b`,a = b.,0.4444444444444444,0.14285714285714288,0
"split string `text` by "",""","Split string `text` by comma `,`",Split text into a list of strings.,0.888888888888889,0.36363636363636365,0
convert pandas group by object to multi-indexed dataframe with indices 'Name' and 'Destination',Set the index of a column `Name` to be the first value from dataframe `df`,Index of destination name.,0.20689655172413796,0.22222222222222224,0
remove any url within string `text`,remove all non-alphanumeric characters from string `text`,Remove https from text,0.42857142857142855,0.4,0
rearrange tuple of tuples `t`,convert a list of tuples `t` into a tuple,zips the elements of t into a tuple,0.5714285714285714,0.4615384615384615,0
generate 6 random numbers between 1 and 50,create a random 12-digit number,Returns a random 6 - sample number from 1 to 50,0.14285714285714288,0.4444444444444445,0
join a list of strings `list` using a space ' ',join each item in list `list` into a string,Join list of strings,0.4444444444444444,0.6153846153846153,0
Find all Chinese characters in string `ipath`,find all unicode characters in string `text`,Find all non - ASCII characters.,0.7142857142857143,0.5,0
"Create a dictionary from string `e` separated by `-` and `,`",convert a dictionary `d` to a dictionary of integers,Convert a dictionary of integers to integers.,0.2222222222222222,0.25,0
get the position of item 1 in `testlist`,create a list containing the indices of elements in list `a` where the element is greater than,Iterate over all the elements in the list.,0.24,0.25,0
"convert nested list of lists `[['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]` into a list of tuples","convert a list of tuples `['tom', 'cat', '",Returns a list of lists of strings.,0.6086956521739131,0.43478260869565216,0
Get the length of list `my_list`,get the size of list `my_list`,Returns the number of items in the list.,0.8571428571428571,0.39999999999999997,0
check if all values in the columns of a numpy matrix `a` are same,check if all the values in a numpy array `a` are identical,Returns true if all elements in a are equal.,0.7692307692307692,0.43478260869565216,0
Get a md5 hash from string `thecakeisalie`,create a key `k` from a string 'thecakeisalie',Generate a unique key for the thecakeisalie,0.5333333333333333,0.2857142857142857,0
remove key 'ele' from dictionary `d`,clear the value of key 'ele' in dictionary `d`,d el e,0.5333333333333333,0.2222222222222222,0
get all environment variables,get current working directory,Get the environment variables.,0.25,0.75,0
set the value in column 'B' to NaN if the corresponding value in column 'A' is equal to 0 in pandas dataframe `df`,get index of rows where column `A` is equal to 0 in dataframe `df`,Index of A = 0 B.,0.4864864864864865,0.21428571428571427,0
"get an element at index `[1,1]`in a numpy array `arr`",get the first row of array `arr`,prints the first element of an array,0.3157894736842105,0.3157894736842105,0
"count the occurrences of item ""b"" in list `l`",count the number of words in a list `l`,Count the number of b in the list,0.6666666666666666,0.7058823529411765,0
get all combination of n binary values,"create a list `lst` containing all cartesian products of elements in list `[0, 1",Returns a list of all the elements in the list.,0.19047619047619047,0.23529411764705882,0
get the count of each unique value in column `Country` of dataframe `df` and store in column `Sum of Accidents`,convert dataframe `df` to a column with index in column `name`,Country Counts reset index to 0.,0.3225806451612903,0.07692307692307691,0
determine the type of variable `v`,check if `v` is an integer,Return the type of the value.,0.16666666666666666,0.5,0
"remove all instances of [1, 1] from list `a`",remove all values from a list `a` if the value in list `,Replace all elements in a with their values.,0.4761904761904762,0.23529411764705882,0
remove the last dot and all text beyond it in string `s`,remove all non-alphanumeric characters in string `s`,Remove all dots and underscores from the string.,0.5,0.5,0
"zip lists `[1, 2], [3, 4], [5, 6]` in a list","zip two lists `[1, 2, 3, 4]` and `[1,",zips two arrays,0.6,0.0,0
return the column for value 38.15 in dataframe `df`,get index of rows in dataframe `df` where column ',DataFrame. ix,0.4210526315789474,0.16666666666666669,0
identify duplicated rows in columns 'PplNum' and 'RoomNum' with additional column in dataframe `df`,group dataframe `df` by values for column 'PplNum',PplNum - > RoomNum,0.36363636363636365,0.25,0
split string `text` by space,Split string `text` into a list of strings,Split text into a list of strings.,0.4615384615384615,0.3333333333333333,0
remove all whitespaces in string `sentence`,remove all non-alphanumeric characters from string `sentence`,Removes all spaces from the sentence and replaces all spaces with spaces.,0.5714285714285715,0.2222222222222222,0
get the position of item `element` in list `testlist`,get the index of a list `testlist` element `element`,Print the index of the element in the testlist,0.6666666666666666,0.5555555555555556,0
case insensitive string comparison between `string1` and `string2`,check if string `string1` is equal to `string2`,Returns true if string1 == string2.,0.375,0.3076923076923077,0
"Check whether a numpy array `a` contains a given row `[1, 2]`",check if any values in a 2d array `a` are identical,True if a is equal to 1 2 or 2.,0.34782608695652173,0.2727272727272727,0
writing items in list `itemlist` to file `outfile`,write list `itemlist` to file `outfile`,Write the list of items to the output file.,0.7142857142857143,0.47058823529411764,0
argparse add argument with flag '--version' and version action of '%(prog)s 2.0' to parser `parser`,argparse associate zero or more arguments with flag'version',Add version argument to the parser,0.30769230769230765,0.4347826086956522,0
extract a url from a string `myString`,search for urls in url `url` using regex,Print out the current URL.,0.13333333333333333,0.16666666666666666,0
get the platform OS name,clear terminal screen on windows,Returns the system platform.,0.0,0.4444444444444445,0
remove whitespace in string `sentence` from beginning and end,Trimming a string `sentence`,Returns the sentence without the sentence - terminator.,0.30769230769230765,0.125,0
make a window `root` jump to the front,create a lift tree from root `root`,Return the first element of the list.,0.26666666666666666,0.13333333333333333,0
prepend the line '#test firstline\n' to the contents of file 'infile' and save as the file 'outfile',"write line ""#test firstline"" to file `outfile`",Write test firstline to file,0.48,0.3478260869565218,0
Parsing webpage 'http://www.google.com/' using BeautifulSoup,"Check the status code of url ""http://www.stackoverflow.com""",Get the page from the server,0.33333333333333326,0.0,0
Join data of dataframe `df1` with data in dataframe `df2` based on similar values of column 'user_id' in both dataframes,join two dataframes `df1` and `df2` into a single data frame,Merge two dataframes.,0.31249999999999994,0.08333333333333333,0
get the position of item 1 in `testlist`,create a generator `gen` containing the indices of elements in list `x`,Generate a generator for the values of the values.,0.3,0.23529411764705882,0
append a numpy array 'b' to a numpy array 'a',concat two 2-d arrays `a` and `b`,Vstack a and b.,0.22222222222222224,0.28571428571428575,0
split string `str1` on one or more spaces with a regular expression,split string `str1` into a list of strings,Split string into a list of strings,0.4,0.3157894736842105,0
"Check if the value of the key ""name"" is ""Test"" in a list of dictionaries `label`",check if a dictionary `d` contains all values associated with key 'name',Returns true if any of the test suite is a test.,0.35714285714285715,0.4444444444444444,0
"unzip the list `[('a', 1), ('b', 2), ('c', 3), ('d', 4)]`",zip two lists `a` and `b` into a list of tuples,zips two arrays of numbers,0.2727272727272727,0.0,0
count the number of keys in dictionary `yourdictfile`,get the size of a dictionary `yourdictfile`,Return the number of items in the dictionary.,0.5333333333333333,0.625,0
Getting the length of array `s`,get the size of list `s`,Returns the length of the string.,0.5,0.5,0
"Convert a list `['A:1', 'B:2', 'C:3', 'D:4']` to dictionary",split a string `s` by ':',Returns a dictionary of all the keys in the key - value format.,0.1111111111111111,0.16,0
