question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new
16772071,sort dict by value python,sort dict by value python,"sorted(list(data.items()), key=lambda x: x[1])",2007,42,1,11,0
17734779,how do I sort a python list of dictionaries given a list of ids with the desired order?,sort a python list of dictionaries `users` by a given list `order` of ids 'id' with the desired order,users.sort(key=lambda x: order.index(x['id'])),2080,44,1,11,0
18176933,Create an empty data frame with index from another data frame,create an empty data frame `df2` with index from another data frame `df1`,df2 = pd.DataFrame(index=df1.index),2112,45,3,11,0
18663026,How do I pythonically set a value in a dictionary if it is None?,Set value for key `a` in dict `count` to `0` if key `a` does not exist or if value is `none`,"count.setdefault('a', 0)",2149,46,1,11,0
18663644,How to account for accent characters for regex in Python?,"match a sharp, followed by letters (including accent characters) in string `str1` using a regex","hashtags = re.findall('#(\\w+)', str1, re.UNICODE)",2150,46,0,11,0
19601086,Click a href button with selenium and python?,click a href button 'Send' with selenium,driver.find_element_by_partial_link_text('Send').click(),2207,47,4,11,1
25292838,applying regex to a pandas dataframe,Update row values for a column `Season` using vectorized string operation in pandas,df['Season'].str.split('-').str[0].astype(int),2420,53,3,11,0
27060098,Replacing few values in a pandas dataframe column with another value,replacing 'ABC' and 'AB' values in column 'BrandName' of dataframe `df` with 'A',"df['BrandName'].replace(['ABC', 'AB'], 'A')",2455,54,3,11,0
28161356,Sort Pandas Dataframe by Date,Sort Pandas Dataframe by Date,df.sort_values(by='Date'),2483,54,3,11,0
28664103,How to transform a time series pandas dataframe using the index attributes?,transform time series `df` into a pivot table aggregated by column 'Close' using column `df.index.date` as index and values of column `df.index.time` as columns,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')",2493,55,3,11,0
33565643,how to slice a dataframe having date field as index?,Set index equal to field 'TRX_DATE' in dataframe `df`,df = df.set_index(['TRX_DATE']),2647,59,3,11,0
39607540,Count the number of Occurrence of Values based on another column,get the count of each unique value in column `Country` of dataframe `df` and store in column `Sum of Accidents`,df.Country.value_counts().reset_index(name='Sum of Accidents'),2771,62,3,11,0
41251391,Can a list of all member-dict keys be created from a dict of dicts using a list comprehension?,get a list of the keys in each dictionary in a dictionary of dictionaries `foo`,[k for d in list(foo.values()) for k in d],2832,63,1,11,0
42442428,Python - Choose a dictionary in list which key is closer to a global value,get a dictionary in list `dicts` which key 'ratio' is closer to a global value 1.77672955975,"min(dicts, key=lambda x: (abs(1.77672955975 - x['ratio']), -x['pixels']))",2872,64,1,11,0
