question_id,intent,rewritten_intent,snippet,idx,time_batch,cluster,gradual_batch,gradual_new,recurring_batch,rec_new,sudden_batch,sudden_new
11399384,Extract all keys from a list of dictionaries,create a set containing all keys' names from dictionary `LoD`,{k for d in LoD for k in list(d.keys())},1574,31,1,8,0,49,0,9,0
13628725,How to generate random numbers that are different?,generate 6 random numbers between 1 and 50,"random.sample(range(1, 50), 6)",1763,36,5,32,0,50,0,9,0
13999850,How to specify date format when using pandas.to_csv?,write dataframe `df` to csv file `filename` with dates formatted as yearmonthday  `%Y%m%d`,"df.to_csv(filename, date_format='%Y%m%d')",1796,37,3,3,0,24,0,9,0
15210485,python regex get first part of an email address,split string `s` by '@' and get the first element,s.split('@')[0],1901,40,8,0,0,6,0,9,0
15247628,How to find duplicate names using pandas?,find duplicate names in column 'name' of the dataframe `x`,x.set_index('name').index.get_duplicates(),1902,40,3,44,0,51,0,9,0
15851568,how to get the last part of a string before a certain character?,Split a string `x` by last occurrence of character `-`,print(x.rpartition('-')[0]),1947,41,8,0,0,5,0,9,0
16866261,Detecting non-ascii characters in unicode string,"Strip all non-ASCII characters from a unicode string, `\xa3\u20ac\xa3\u20ac`","print(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))",2008,42,8,0,0,41,0,9,0
16868457,python sorting dictionary by length of values,sort a dictionary `d` by length of its values and print as string,"print(' '.join(sorted(d, key=lambda k: len(d[k]), reverse=True)))",2010,42,1,62,0,57,0,9,0
17109608,change figure size and figure format in matplotlib,change figure size to 3 by 4 in matplotlib,"plt.figure(figsize=(3, 4))",2031,43,4,37,1,25,1,9,0
18253210,Creating a numpy array of 3D coordinates from three 1D arrays,"creating a numpy array of 3d coordinates from three 1d arrays `x_p`, `y_p` and `z_p`","np.vstack(np.meshgrid(x_p, y_p, z_p)).reshape(3, -1).T",2116,45,6,36,0,9,0,9,0
19641579,Python convert tuple to string,"concatenate strings in tuple `('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e')` into a single string",""""""""""""".join(('a', 'b', 'c', 'd', 'g', 'x', 'r', 'e'))",2214,48,8,0,0,9,0,9,0
22963263,Creating a zero-filled pandas data frame,create a dataframe `d` filled with zeros with indices from 0 to length of `data` and column names from `feature_list`,"d = pd.DataFrame(0, index=np.arange(len(data)), columns=feature_list)",2370,52,3,63,0,19,0,9,0
31818050,round number to nearest integer,round number `x` to nearest integer,int(round(x)),2596,57,5,33,0,3,0,9,0
32458541,Django can't find URL pattern,Confirm urls in Django properly,"url('^$', include('sms.urls')),",2622,58,4,61,1,10,1,9,0
35883459,Creating a list of dictionaries in python,"creating a list of dictionaries [{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]","[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",2702,60,1,2,0,38,0,9,0
41127441,"Why can you loop through an implicit tuple in a for loop, but not a comprehension in Python?",get a list each value `i` in the implicit tuple `range(3)`,list(i for i in range(3)),2826,63,7,52,1,5,0,9,0
42387471,How to add a colorbar for a hist2d plot,add a colorbar to plot `plt` using image `im` on axes `ax`,"plt.colorbar(im, ax=ax)",2870,64,4,44,1,48,1,9,0
